date,geography,debt_service_ratio,mortgage_debt_service_ratio,non_mortgage_debt_service_ratio,debt_to_disposable_income,credit_market_debt_to_disposable_income,consumer_credit_mortgage_liabilities_to_income,effective_interest_cost_total_loans,disposable_income,disposable_income_growth_yoy,interest_cost_change_yoy,consumer_insolvencies,insolvency_growth_yoy,debt_to_income_change_yoy,debt_service_ratio_change_yoy,dsr_score,debt_income_score,insolvency_score,interest_pressure_score,income_pressure_score,risk_score,risk_category,suggested_action,year,quarter,quarter_label,risk_traffic_light,risk_narrative
2009-01-01,Canada,14.19,6.2,7.99,154.15,152.15,144.2,1.35,869928.0,3.12,-0.27,35543.0,35.94,4.32,-0.63,65,20,85,20.0,45.0,49.0,Moderate Risk,Increase monitoring of household credit stress indicators,2009,2009Q1,Q1 2009,Yellow,"In Q1 2009, Canada household credit risk was classified as Moderate Risk with a risk score of 49.0. The debt service ratio was 14.19%, debt-to-disposable-income was 154.15%, and consumer insolvency growth was 35.94% YoY."
2009-04-01,Canada,14.09,6.23,7.86,157.51,155.22,147.18,1.26,874224.0,1.89,-0.29,40249.0,40.31,5.46,-0.57,65,20,85,20.0,65.0,51.0,Moderate Risk,Increase monitoring of household credit stress indicators,2009,2009Q2,Q2 2009,Yellow,"In Q2 2009, Canada household credit risk was classified as Moderate Risk with a risk score of 51.0. The debt service ratio was 14.09%, debt-to-disposable-income was 157.51%, and consumer insolvency growth was 40.31% YoY."
2009-07-01,Canada,13.87,6.18,7.69,160.41,158.29,150.22,1.24,891036.0,1.87,-0.29,40589.0,40.16,7.38,-0.63,45,45,85,20.0,65.0,51.25,Moderate Risk,Increase monitoring of household credit stress indicators,2009,2009Q3,Q3 2009,Yellow,"In Q3 2009, Canada household credit risk was classified as Moderate Risk with a risk score of 51.25. The debt service ratio was 13.87%, debt-to-disposable-income was 160.41%, and consumer insolvency growth was 40.16% YoY."
2009-10-01,Canada,13.82,6.16,7.65,162.59,160.48,152.58,1.23,903940.0,3.51,-0.23,35331.0,10.42,9.28,-0.55,45,45,65,20.0,45.0,45.25,Moderate Risk,Increase monitoring of household credit stress indicators,2009,2009Q4,Q4 2009,Yellow,"In Q4 2009, Canada household credit risk was classified as Moderate Risk with a risk score of 45.25. The debt service ratio was 13.82%, debt-to-disposable-income was 162.59%, and consumer insolvency growth was 10.42% YoY."
2010-01-01,Canada,13.76,6.09,7.67,161.07,159.04,151.0,1.2,925300.0,6.37,-0.15,33855.0,-4.75,6.92,-0.43,45,45,20,20.0,20.0,33.75,Low Risk,Continue standard monitoring,2010,2010Q1,Q1 2010,Green,"In Q1 2010, Canada household credit risk was classified as Low Risk with a risk score of 33.75. The debt service ratio was 13.76%, debt-to-disposable-income was 161.07%, and consumer insolvency growth was -4.75% YoY."
2010-04-01,Canada,14.11,6.24,7.87,163.21,160.87,152.77,1.18,913868.0,4.53,-0.08,35458.0,-11.9,5.7,0.02,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2010,2010Q2,Q2 2010,Yellow,"In Q2 2010, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.11%, debt-to-disposable-income was 163.21%, and consumer insolvency growth was -11.9% YoY."
2010-07-01,Canada,14.1,6.23,7.87,164.27,162.1,154.02,1.2,928072.0,4.16,-0.04,32332.0,-20.34,3.86,0.23,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2010,2010Q3,Q3 2010,Yellow,"In Q3 2010, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.1%, debt-to-disposable-income was 164.27%, and consumer insolvency growth was -20.34% YoY."
2010-10-01,Canada,14.04,6.21,7.82,164.71,162.48,154.59,1.2,945124.0,4.56,-0.03,33363.0,-5.57,2.12,0.22,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2010,2010Q4,Q4 2010,Yellow,"In Q4 2010, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.04%, debt-to-disposable-income was 164.71%, and consumer insolvency growth was -5.57% YoY."
2011-01-01,Canada,14.09,6.25,7.85,164.82,162.54,154.54,1.2,950388.0,2.71,0.0,31604.0,-6.65,3.75,0.33,65,45,20,45.0,45.0,46.0,Moderate Risk,Increase monitoring of household credit stress indicators,2011,2011Q1,Q1 2011,Yellow,"In Q1 2011, Canada household credit risk was classified as Moderate Risk with a risk score of 46.0. The debt service ratio was 14.09%, debt-to-disposable-income was 164.82%, and consumer insolvency growth was -6.65% YoY."
2011-04-01,Canada,14.18,6.28,7.91,166.19,163.92,156.02,1.14,953648.0,4.35,-0.04,32093.0,-9.49,2.98,0.07,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2011,2011Q2,Q2 2011,Yellow,"In Q2 2011, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.18%, debt-to-disposable-income was 166.19%, and consumer insolvency growth was -9.49% YoY."
2011-07-01,Canada,14.14,6.27,7.87,166.92,164.76,157.06,1.15,962860.0,3.75,-0.05,29300.0,-9.38,2.65,0.04,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2011,2011Q3,Q3 2011,Yellow,"In Q3 2011, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.14%, debt-to-disposable-income was 166.92%, and consumer insolvency growth was -9.38% YoY."
2011-10-01,Canada,14.02,6.24,7.79,166.79,164.52,156.65,1.15,981496.0,3.85,-0.05,30002.0,-10.07,2.08,-0.02,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2011,2011Q4,Q4 2011,Yellow,"In Q4 2011, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.02%, debt-to-disposable-income was 166.79%, and consumer insolvency growth was -10.07% YoY."
2012-01-01,Canada,13.95,6.22,7.73,165.94,163.65,155.67,1.13,989444.0,4.11,-0.07,30413.0,-3.77,1.12,-0.14,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2012,2012Q1,Q1 2012,Green,"In Q1 2012, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.95%, debt-to-disposable-income was 165.94%, and consumer insolvency growth was -3.77% YoY."
2012-04-01,Canada,14.02,6.29,7.73,167.19,164.87,156.86,1.09,994088.0,4.24,-0.05,31275.0,-2.55,1.0,-0.16,65,45,20,20.0,45.0,42.25,Moderate Risk,Increase monitoring of household credit stress indicators,2012,2012Q2,Q2 2012,Yellow,"In Q2 2012, Canada household credit risk was classified as Moderate Risk with a risk score of 42.25. The debt service ratio was 14.02%, debt-to-disposable-income was 167.19%, and consumer insolvency growth was -2.55% YoY."
2012-07-01,Canada,13.98,6.28,7.69,167.63,165.43,157.59,1.11,1006960.0,4.58,-0.04,28050.0,-4.27,0.71,-0.16,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2012,2012Q3,Q3 2012,Green,"In Q3 2012, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.98%, debt-to-disposable-income was 167.63%, and consumer insolvency growth was -4.27% YoY."
2012-10-01,Canada,13.97,6.31,7.65,167.35,165.23,157.54,1.09,1014516.0,3.36,-0.06,28660.0,-4.47,0.56,-0.05,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2012,2012Q4,Q4 2012,Green,"In Q4 2012, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.97%, debt-to-disposable-income was 167.35%, and consumer insolvency growth was -4.47% YoY."
2013-01-01,Canada,13.77,6.25,7.52,166.48,164.33,156.57,1.1,1036240.0,4.73,-0.03,28787.0,-5.35,0.54,-0.18,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2013,2013Q1,Q1 2013,Green,"In Q1 2013, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.77%, debt-to-disposable-income was 166.48%, and consumer insolvency growth was -5.35% YoY."
2013-04-01,Canada,13.83,6.28,7.54,167.23,165.16,157.5,1.06,1042016.0,4.82,-0.03,31872.0,1.91,0.04,-0.19,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2013,2013Q2,Q2 2013,Yellow,"In Q2 2013, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.83%, debt-to-disposable-income was 167.23%, and consumer insolvency growth was 1.91% YoY."
2013-07-01,Canada,13.87,6.34,7.53,167.87,165.78,158.1,1.08,1048424.0,4.12,-0.03,29189.0,4.06,0.24,-0.11,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2013,2013Q3,Q3 2013,Yellow,"In Q3 2013, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.87%, debt-to-disposable-income was 167.87%, and consumer insolvency growth was 4.06% YoY."
2013-10-01,Canada,13.83,6.34,7.49,167.59,165.42,157.88,1.08,1060496.0,4.53,-0.01,28830.0,0.59,0.24,-0.14,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2013,2013Q4,Q4 2013,Yellow,"In Q4 2013, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.83%, debt-to-disposable-income was 167.59%, and consumer insolvency growth was 0.59% YoY."
2014-01-01,Canada,13.84,6.4,7.45,167.29,165.03,157.38,1.07,1067684.0,3.03,-0.03,28770.0,-0.06,0.81,0.07,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2014,2014Q1,Q1 2014,Green,"In Q1 2014, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.84%, debt-to-disposable-income was 167.29%, and consumer insolvency growth was -0.06% YoY."
2014-04-01,Canada,13.88,6.4,7.48,168.23,165.96,158.41,1.02,1073324.0,3.0,-0.04,31018.0,-2.68,1.0,0.05,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2014,2014Q2,Q2 2014,Green,"In Q2 2014, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.88%, debt-to-disposable-income was 168.23%, and consumer insolvency growth was -2.68% YoY."
2014-07-01,Canada,13.91,6.39,7.52,169.71,167.4,159.75,1.04,1091132.0,4.07,-0.04,29088.0,-0.35,1.84,0.04,45,45,20,20.0,45.0,36.25,Low Risk,Continue standard monitoring,2014,2014Q3,Q3 2014,Green,"In Q3 2014, Canada household credit risk was classified as Low Risk with a risk score of 36.25. The debt service ratio was 13.91%, debt-to-disposable-income was 169.71%, and consumer insolvency growth was -0.35% YoY."
2014-10-01,Canada,14.1,6.44,7.66,169.69,167.46,159.76,1.04,1094480.0,3.2,-0.04,29174.0,1.19,2.1,0.27,65,45,45,20.0,45.0,47.25,Moderate Risk,Increase monitoring of household credit stress indicators,2014,2014Q4,Q4 2014,Yellow,"In Q4 2014, Canada household credit risk was classified as Moderate Risk with a risk score of 47.25. The debt service ratio was 14.1%, debt-to-disposable-income was 169.69%, and consumer insolvency growth was 1.19% YoY."
2015-01-01,Canada,13.98,6.37,7.61,168.93,166.68,158.94,1.04,1117748.0,4.69,-0.03,29858.0,3.78,1.64,0.14,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2015,2015Q1,Q1 2015,Yellow,"In Q1 2015, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.98%, debt-to-disposable-income was 168.93%, and consumer insolvency growth was 3.78% YoY."
2015-04-01,Canada,13.9,6.35,7.55,170.42,168.25,160.1,0.97,1127520.0,5.05,-0.05,31778.0,2.45,2.19,0.02,45,45,45,20.0,20.0,38.75,Low Risk,Continue standard monitoring,2015,2015Q2,Q2 2015,Green,"In Q2 2015, Canada household credit risk was classified as Low Risk with a risk score of 38.75. The debt service ratio was 13.9%, debt-to-disposable-income was 170.42%, and consumer insolvency growth was 2.45% YoY."
2015-07-01,Canada,13.81,6.38,7.44,171.7,169.56,161.48,0.99,1136328.0,4.14,-0.05,29821.0,2.52,1.99,-0.1,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2015,2015Q3,Q3 2015,Yellow,"In Q3 2015, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.81%, debt-to-disposable-income was 171.7%, and consumer insolvency growth was 2.52% YoY."
2015-10-01,Canada,13.81,6.45,7.36,172.23,170.09,162.03,0.97,1137924.0,3.97,-0.07,30152.0,3.35,2.54,-0.29,45,45,45,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2015,2015Q4,Q4 2015,Yellow,"In Q4 2015, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.81%, debt-to-disposable-income was 172.23%, and consumer insolvency growth was 3.35% YoY."
2016-01-01,Canada,14.17,6.63,7.55,174.2,171.99,163.6,0.97,1107644.0,-0.9,-0.07,31076.0,4.08,5.27,0.19,65,45,45,20.0,85.0,51.25,Moderate Risk,Increase monitoring of household credit stress indicators,2016,2016Q1,Q1 2016,Yellow,"In Q1 2016, Canada household credit risk was classified as Moderate Risk with a risk score of 51.25. The debt service ratio was 14.17%, debt-to-disposable-income was 174.2%, and consumer insolvency growth was 4.08% YoY."
2016-04-01,Canada,14.18,6.7,7.48,177.9,175.68,167.22,0.94,1128120.0,0.05,-0.03,34263.0,7.82,7.48,0.28,65,65,65,20.0,65.0,58.25,Moderate Risk,Increase monitoring of household credit stress indicators,2016,2016Q2,Q2 2016,Yellow,"In Q2 2016, Canada household credit risk was classified as Moderate Risk with a risk score of 58.25. The debt service ratio was 14.18%, debt-to-disposable-income was 177.9%, and consumer insolvency growth was 7.82% YoY."
2016-07-01,Canada,14.15,6.71,7.43,180.29,178.07,169.68,0.94,1141024.0,0.41,-0.05,30416.0,2.0,8.59,0.34,65,65,45,20.0,65.0,54.25,Moderate Risk,Increase monitoring of household credit stress indicators,2016,2016Q3,Q3 2016,Yellow,"In Q3 2016, Canada household credit risk was classified as Moderate Risk with a risk score of 54.25. The debt service ratio was 14.15%, debt-to-disposable-income was 180.29%, and consumer insolvency growth was 2.0% YoY."
2016-10-01,Canada,14.12,6.7,7.41,181.45,179.23,170.71,0.95,1154244.0,1.43,-0.02,30123.0,-0.1,9.22,0.31,65,65,20,20.0,65.0,49.25,Moderate Risk,Increase monitoring of household credit stress indicators,2016,2016Q4,Q4 2016,Yellow,"In Q4 2016, Canada household credit risk was classified as Moderate Risk with a risk score of 49.25. The debt service ratio was 14.12%, debt-to-disposable-income was 181.45%, and consumer insolvency growth was -0.1% YoY."
2017-01-01,Canada,14.31,6.77,7.54,181.25,179.03,170.27,0.94,1158008.0,4.55,-0.03,30684.0,-1.26,7.05,0.14,65,65,20,20.0,45.0,47.25,Moderate Risk,Increase monitoring of household credit stress indicators,2017,2017Q1,Q1 2017,Yellow,"In Q1 2017, Canada household credit risk was classified as Moderate Risk with a risk score of 47.25. The debt service ratio was 14.31%, debt-to-disposable-income was 181.25%, and consumer insolvency growth was -1.26% YoY."
2017-04-01,Canada,14.3,6.74,7.55,182.62,180.4,171.71,0.91,1179116.0,4.52,-0.03,31954.0,-6.74,4.72,0.12,65,65,20,20.0,45.0,47.25,Moderate Risk,Increase monitoring of household credit stress indicators,2017,2017Q2,Q2 2017,Yellow,"In Q2 2017, Canada household credit risk was classified as Moderate Risk with a risk score of 47.25. The debt service ratio was 14.3%, debt-to-disposable-income was 182.62%, and consumer insolvency growth was -6.74% YoY."
2017-07-01,Canada,14.25,6.7,7.54,182.76,180.5,171.86,0.95,1203920.0,5.51,0.01,29535.0,-2.9,2.47,0.1,65,65,20,45.0,20.0,48.5,Moderate Risk,Increase monitoring of household credit stress indicators,2017,2017Q3,Q3 2017,Yellow,"In Q3 2017, Canada household credit risk was classified as Moderate Risk with a risk score of 48.5. The debt service ratio was 14.25%, debt-to-disposable-income was 182.76%, and consumer insolvency growth was -2.9% YoY."
2017-10-01,Canada,14.38,6.78,7.59,182.14,179.87,171.34,0.98,1216424.0,5.39,0.03,30025.0,-0.33,0.69,0.26,65,65,20,45.0,20.0,48.5,Moderate Risk,Increase monitoring of household credit stress indicators,2017,2017Q4,Q4 2017,Yellow,"In Q4 2017, Canada household credit risk was classified as Moderate Risk with a risk score of 48.5. The debt service ratio was 14.38%, debt-to-disposable-income was 182.14%, and consumer insolvency growth was -0.33% YoY."
2018-01-01,Canada,14.64,6.93,7.71,181.22,178.96,170.16,1.0,1215708.0,4.98,0.06,30397.0,-0.94,-0.03,0.33,65,65,20,45.0,45.0,51.0,Moderate Risk,Increase monitoring of household credit stress indicators,2018,2018Q1,Q1 2018,Yellow,"In Q1 2018, Canada household credit risk was classified as Moderate Risk with a risk score of 51.0. The debt service ratio was 14.64%, debt-to-disposable-income was 181.22%, and consumer insolvency growth was -0.94% YoY."
2018-04-01,Canada,14.85,7.04,7.81,182.29,180.04,171.06,0.99,1216444.0,3.17,0.08,32656.0,2.2,-0.33,0.55,65,65,45,45.0,45.0,56.0,Moderate Risk,Increase monitoring of household credit stress indicators,2018,2018Q2,Q2 2018,Yellow,"In Q2 2018, Canada household credit risk was classified as Moderate Risk with a risk score of 56.0. The debt service ratio was 14.85%, debt-to-disposable-income was 182.29%, and consumer insolvency growth was 2.2% YoY."
2018-07-01,Canada,14.97,7.1,7.88,183.79,181.58,172.53,1.04,1222984.0,1.58,0.09,30313.0,2.63,1.03,0.72,65,65,45,45.0,65.0,58.0,Moderate Risk,Increase monitoring of household credit stress indicators,2018,2018Q3,Q3 2018,Yellow,"In Q3 2018, Canada household credit risk was classified as Moderate Risk with a risk score of 58.0. The debt service ratio was 14.97%, debt-to-disposable-income was 183.79%, and consumer insolvency growth was 2.63% YoY."
2018-10-01,Canada,14.94,7.1,7.84,184.33,182.09,173.0,1.07,1244536.0,2.31,0.09,31900.0,6.24,2.19,0.56,65,65,65,45.0,45.0,60.0,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2018,2018Q4,Q4 2018,Orange,"In Q4 2018, Canada household credit risk was classified as Elevated Risk with a risk score of 60.0. The debt service ratio was 14.94%, debt-to-disposable-income was 184.33%, and consumer insolvency growth was 6.24% YoY."
2019-01-01,Canada,15.11,7.23,7.88,183.28,181.04,172.04,1.1,1251160.0,2.92,0.1,32239.0,6.06,2.06,0.47,85,65,65,45.0,45.0,66.0,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2019,2019Q1,Q1 2019,Orange,"In Q1 2019, Canada household credit risk was classified as Elevated Risk with a risk score of 66.0. The debt service ratio was 15.11%, debt-to-disposable-income was 183.28%, and consumer insolvency growth was 6.06% YoY."
2019-04-01,Canada,15.03,7.2,7.83,183.64,181.41,172.33,1.07,1274800.0,4.8,0.08,35076.0,7.41,1.35,0.18,85,65,65,45.0,45.0,66.0,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2019,2019Q2,Q2 2019,Orange,"In Q2 2019, Canada household credit risk was classified as Elevated Risk with a risk score of 66.0. The debt service ratio was 15.03%, debt-to-disposable-income was 183.64%, and consumer insolvency growth was 7.41% YoY."
2019-07-01,Canada,15.06,7.25,7.82,183.63,181.41,172.38,1.1,1287348.0,5.26,0.06,34708.0,14.5,-0.16,0.09,85,65,65,45.0,20.0,63.5,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2019,2019Q3,Q3 2019,Orange,"In Q3 2019, Canada household credit risk was classified as Elevated Risk with a risk score of 63.5. The debt service ratio was 15.06%, debt-to-disposable-income was 183.63%, and consumer insolvency growth was 14.5% YoY."
2019-10-01,Canada,14.95,7.19,7.76,182.79,180.54,171.54,1.09,1308140.0,5.11,0.02,35155.0,10.2,-1.54,0.01,65,65,65,45.0,20.0,57.5,Moderate Risk,Increase monitoring of household credit stress indicators,2019,2019Q4,Q4 2019,Yellow,"In Q4 2019, Canada household credit risk was classified as Moderate Risk with a risk score of 57.5. The debt service ratio was 14.95%, debt-to-disposable-income was 182.79%, and consumer insolvency growth was 10.2% YoY."
2020-01-01,Canada,14.64,7.1,7.53,181.0,178.78,169.93,1.08,1323752.0,5.8,-0.02,33227.0,3.06,-2.28,-0.47,65,65,45,20.0,20.0,49.75,Moderate Risk,Increase monitoring of household credit stress indicators,2020,2020Q1,Q1 2020,Yellow,"In Q1 2020, Canada household credit risk was classified as Moderate Risk with a risk score of 49.75. The debt service ratio was 14.64%, debt-to-disposable-income was 181.0%, and consumer insolvency growth was 3.06% YoY."
2020-04-01,Canada,12.56,6.17,6.39,176.83,174.69,165.84,0.98,1452184.0,13.91,-0.09,19160.0,-45.38,-6.81,-2.47,20,65,20,20.0,20.0,31.25,Low Risk,Continue standard monitoring,2020,2020Q2,Q2 2020,Green,"In Q2 2020, Canada household credit risk was classified as Low Risk with a risk score of 31.25. The debt service ratio was 12.56%, debt-to-disposable-income was 176.83%, and consumer insolvency growth was -45.38% YoY."
2020-07-01,Canada,13.47,6.75,6.71,176.55,174.41,165.75,0.96,1393800.0,8.27,-0.14,20707.0,-40.34,-7.08,-1.59,45,65,20,20.0,20.0,38.75,Low Risk,Continue standard monitoring,2020,2020Q3,Q3 2020,Green,"In Q3 2020, Canada household credit risk was classified as Low Risk with a risk score of 38.75. The debt service ratio was 13.47%, debt-to-disposable-income was 176.55%, and consumer insolvency growth was -40.34% YoY."
2020-10-01,Canada,13.94,7.03,6.91,176.85,174.72,166.06,0.95,1380908.0,5.56,-0.14,23364.0,-33.54,-5.94,-1.01,45,65,20,20.0,20.0,38.75,Low Risk,Continue standard monitoring,2020,2020Q4,Q4 2020,Green,"In Q4 2020, Canada household credit risk was classified as Low Risk with a risk score of 38.75. The debt service ratio was 13.94%, debt-to-disposable-income was 176.85%, and consumer insolvency growth was -33.54% YoY."
2021-01-01,Canada,13.57,6.92,6.66,174.11,171.96,163.54,0.91,1432508.0,8.22,-0.17,23824.0,-28.3,-6.89,-1.07,45,45,20,20.0,20.0,33.75,Low Risk,Continue standard monitoring,2021,2021Q1,Q1 2021,Green,"In Q1 2021, Canada household credit risk was classified as Low Risk with a risk score of 33.75. The debt service ratio was 13.57%, debt-to-disposable-income was 174.11%, and consumer insolvency growth was -28.3% YoY."
2021-04-01,Canada,13.72,7.06,6.65,179.82,177.64,168.98,0.88,1427532.0,-1.7,-0.1,22889.0,19.46,2.99,1.16,45,65,85,20.0,85.0,58.25,Moderate Risk,Increase monitoring of household credit stress indicators,2021,2021Q2,Q2 2021,Yellow,"In Q2 2021, Canada household credit risk was classified as Moderate Risk with a risk score of 58.25. The debt service ratio was 13.72%, debt-to-disposable-income was 179.82%, and consumer insolvency growth was 19.46% YoY."
2021-07-01,Canada,13.68,7.06,6.62,182.48,180.27,171.63,0.87,1438212.0,3.19,-0.09,21113.0,1.96,5.93,0.21,45,65,45,20.0,45.0,46.25,Moderate Risk,Increase monitoring of household credit stress indicators,2021,2021Q3,Q3 2021,Yellow,"In Q3 2021, Canada household credit risk was classified as Moderate Risk with a risk score of 46.25. The debt service ratio was 13.68%, debt-to-disposable-income was 182.48%, and consumer insolvency growth was 1.96% YoY."
2021-10-01,Canada,13.9,7.2,6.7,184.45,182.23,173.55,0.86,1426848.0,3.33,-0.09,22266.0,-4.7,7.6,-0.04,45,65,20,20.0,45.0,41.25,Moderate Risk,Increase monitoring of household credit stress indicators,2021,2021Q4,Q4 2021,Yellow,"In Q4 2021, Canada household credit risk was classified as Moderate Risk with a risk score of 41.25. The debt service ratio was 13.9%, debt-to-disposable-income was 184.45%, and consumer insolvency growth was -4.7% YoY."
2022-01-01,Canada,13.81,7.18,6.63,186.4,184.09,175.46,0.84,1465024.0,2.27,-0.07,23153.0,-2.82,12.29,0.24,45,85,20,20.0,45.0,46.25,Moderate Risk,Increase monitoring of household credit stress indicators,2022,2022Q1,Q1 2022,Yellow,"In Q1 2022, Canada household credit risk was classified as Moderate Risk with a risk score of 46.25. The debt service ratio was 13.81%, debt-to-disposable-income was 186.4%, and consumer insolvency growth was -2.82% YoY."
2022-04-01,Canada,14.0,7.33,6.68,189.65,187.29,178.57,0.88,1489856.0,4.37,0.0,25286.0,10.47,9.83,0.28,65,85,65,45.0,45.0,65.0,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2022,2022Q2,Q2 2022,Orange,"In Q2 2022, Canada household credit risk was classified as Elevated Risk with a risk score of 65.0. The debt service ratio was 14.0%, debt-to-disposable-income was 189.65%, and consumer insolvency growth was 10.47% YoY."
2022-07-01,Canada,14.43,7.64,6.8,190.07,187.67,179.05,1.03,1503576.0,4.54,0.16,25860.0,22.48,7.59,0.75,65,85,85,45.0,45.0,69.0,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2022,2022Q3,Q3 2022,Orange,"In Q3 2022, Canada household credit risk was classified as Elevated Risk with a risk score of 69.0. The debt service ratio was 14.43%, debt-to-disposable-income was 190.07%, and consumer insolvency growth was 22.48% YoY."
2022-10-01,Canada,14.62,7.84,6.78,187.55,185.16,176.59,1.18,1550904.0,8.69,0.32,25885.0,16.25,3.1,0.72,65,85,85,65.0,20.0,69.5,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2022,2022Q4,Q4 2022,Orange,"In Q4 2022, Canada household credit risk was classified as Elevated Risk with a risk score of 69.5. The debt service ratio was 14.62%, debt-to-disposable-income was 187.55%, and consumer insolvency growth was 16.25% YoY."
2023-01-01,Canada,15.17,8.23,6.95,185.71,183.33,174.96,1.3,1543368.0,5.35,0.46,29725.0,28.39,-0.69,1.36,85,85,85,65.0,20.0,75.5,High Risk,Escalate to risk committee and review credit policy thresholds,2023,2023Q1,Q1 2023,Red,"In Q1 2023, Canada household credit risk was classified as High Risk with a risk score of 75.5. The debt service ratio was 15.17%, debt-to-disposable-income was 185.71%, and consumer insolvency growth was 28.39% YoY."
2023-04-01,Canada,15.14,8.22,6.92,185.69,183.33,174.95,1.32,1578468.0,5.95,0.44,31224.0,23.48,-3.96,1.14,85,85,85,65.0,20.0,75.5,High Risk,Escalate to risk committee and review credit policy thresholds,2023,2023Q2,Q2 2023,Red,"In Q2 2023, Canada household credit risk was classified as High Risk with a risk score of 75.5. The debt service ratio was 15.14%, debt-to-disposable-income was 185.69%, and consumer insolvency growth was 23.48% YoY."
2023-07-01,Canada,15.09,8.19,6.89,184.41,182.07,173.77,1.39,1620528.0,7.78,0.36,30471.0,17.83,-5.66,0.66,85,65,85,65.0,20.0,70.5,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2023,2023Q3,Q3 2023,Orange,"In Q3 2023, Canada household credit risk was classified as Elevated Risk with a risk score of 70.5. The debt service ratio was 15.09%, debt-to-disposable-income was 184.41%, and consumer insolvency growth was 17.83% YoY."
2023-10-01,Canada,15.13,8.2,6.93,182.98,180.66,172.44,1.42,1641912.0,5.87,0.24,31813.0,22.9,-4.57,0.51,85,65,85,45.0,20.0,67.5,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2023,2023Q4,Q4 2023,Orange,"In Q4 2023, Canada household credit risk was classified as Elevated Risk with a risk score of 67.5. The debt service ratio was 15.13%, debt-to-disposable-income was 182.98%, and consumer insolvency growth was 22.9% YoY."
2024-01-01,Canada,15.1,8.17,6.94,180.08,177.82,169.68,1.44,1658352.0,7.45,0.14,33885.0,13.99,-5.63,-0.07,85,65,65,45.0,20.0,63.5,Elevated Risk,Review vulnerable borrower segments and stress-test portfolios,2024,2024Q1,Q1 2024,Orange,"In Q1 2024, Canada household credit risk was classified as Elevated Risk with a risk score of 63.5. The debt service ratio was 15.1%, debt-to-disposable-income was 180.08%, and consumer insolvency growth was 13.99% YoY."
